,Loyalty_Program_Status,Gender,CustomerSatisfaction,Installment_Number,Total_Installments,Installment_Amount,Principal_Amount,Interest_Amount,Amount_Due,Currency,Payment_Method,Order Status,Delay_Days,Repayment_Status,Total_Loans,Segment,Quantity,Unit Price,Total Amount,Discount Applied (%),Tax (%),Payment_Mode,Month Order Count,Avg Qantity,Cancelled Order Per Customer,Order Channel,ProductCategory,ProductBrand,ProductCategory2,Cost Price,Discount (%),PurchaseFrequency,Stock Status,Product Status,Customers_Location,Customer_Duration,Age_Group,installment_to_principal_ratio,interest_to_amount_due_ratio,remaining_installments,amount_per_unit,loans_per_purchase_cycle
947,Silver,FEMALE,3,3,6,718.07,4114.37,194.05,718.07,USD,Debit Card,Delivered,7,On-Time,1,Corporate,10,558,5581,0,8,PayPal,1,10,0,Online,Smart Watches,HP,Smart Watches,1480,10,5,In Stock,Archived,"Montebello, California",New Customer,Young,0.17452732739155694,0.2702382776052474,3,558.1,0.2
948,Platinum,MALE,3,3,3,640.19,1857.09,63.47,640.19,EUR,Bank Transfer,Pending,98,Late,1,SME,7,249,1745,0,8,Cash,1,7,0,Offline,Headphones,HP,Headphones,1149,0,8,In Stock,Active,"Chicago, Illinois",New Customer,Middle age,0.34472750378280004,0.09914244208750526,0,249.28571428571428,0.125
949,Gold,FEMALE,4,6,9,81.2,713.22,17.62,81.2,NGN,Debit Card,Cancelled,0,On-Time,1,Corporate,6,400,2399,0,10,Credit Card,1,6,1,Online,Smart Watches,Apple,Smart Watches,544,0,15,In Stock,Active,"Chicago, Illinois",Old Customer,Middle age,0.11384986399708365,0.21699507389162562,3,399.8333333333333,0.06666666666666667
950,Silver,FEMALE,3,2,9,76.22,666.39,19.57,76.22,USD,Debit Card,Delivered,0,On-Time,1,Corporate,6,502,3013,0,10,Credit Card,1,6,0,Online,Headphones,Apple,Headphones,1215,0,6,In Stock,Active,"Chicago, Illinois",New Customer,Young,0.11437746664865919,0.25675675675675674,7,502.1666666666667,0.16666666666666666
951,Gold,MALE,4,6,9,558.2,4825.74,198.07,558.2,NGN,Bank Transfer,Cancelled,90,Late,1,Corporate,10,874,8740,5,8,Credit Card,1,10,1,Online,Smartphones,HP,Smartphones,837,0,10,In Stock,Inactive,"Los Angeles, California",Old Customer,Young,0.11567137889732976,0.3548369759942672,3,874.0,0.1
952,Bronze,MALE,1,1,3,567.49,1645.59,56.87,567.49,USD,Debit Card,Pending,0,On-Time,1,Corporate,9,130,1172,5,5,Credit Card,1,9,0,Online,Smart Watches,Sony,Smart Watches,1489,5,3,In Stock,Active,"Dallas, Texas",New Customer,Young,0.34485503679531354,0.10021321961620469,2,130.22222222222223,0.3333333333333333
953,Platinum,FEMALE,2,1,3,58.99,169.73,7.24,58.99,USD,Auto-Debit,Shipped,0,On-Time,1,SME,9,28,248,15,10,Credit Card,1,9,0,Online,Laptops,Samsung,Laptops,564,20,13,In Stock,Archived,"Dallas, Texas",New Customer,Young,0.34755199434395806,0.12273266655365316,2,27.555555555555557,0.07692307692307693
954,Gold,FEMALE,2,2,9,491.92,4303.54,123.75,491.92,NGN,Auto-Debit,Returned,160,Late,1,SME,8,97,776,10,10,PayPal,1,8,0,Online,Headphones,HP,Headphones,1173,0,3,In Stock,Archived,"Omaha, Nebraska",New Customer,Middle age,0.11430589700572087,0.2515652951699463,7,97.0,0.3333333333333333
955,Platinum,MALE,4,6,9,114.97,974.46,20.08,114.97,EUR,Bank Transfer,Shipped,145,Late,1,Retail,9,107,967,10,5,PayPal,1,9,0,Online,Tablets,HP,Tablets,106,20,12,In Stock,Archived,"Omaha, Nebraska",Old Customer,Middle age,0.1179832933111672,0.17465425763242584,3,107.44444444444444,0.08333333333333333
956,Silver,FEMALE,3,4,6,25.59,116.99,5.4,25.59,EUR,Auto-Debit,Delivered,31,Late,1,Retail,10,947,9468,0,10,Credit Card,1,10,0,Online,Smartphones,HP,Smartphones,176,15,16,In Stock,Archived,"Omaha, Nebraska",Old Customer,Young,0.2187366441576203,0.21101992966002348,2,946.8,0.0625
957,Platinum,FEMALE,4,7,9,486.12,4254.2,120.87,486.12,USD,Bank Transfer,Delivered,79,Late,1,Retail,1,198,198,15,5,Credit Card,1,1,0,Online,Laptops,HP,Laptops,189,5,14,In Stock,Active,"San Diego, California",New Customer,Middle age,0.11426825255042077,0.24864231054060726,2,198.0,0.07142857142857142
958,Silver,MALE,2,2,3,1657.2,4804.5,167.1,1657.2,NGN,Debit Card,Pending,0,On-Time,1,SME,5,254,1272,15,5,PayPal,1,5,0,Online,Smart Watches,Samsung,Smart Watches,523,10,13,In Stock,Archived,"San Diego, California",New Customer,Middle age,0.344926631283172,0.10083272990586531,1,254.4,0.07692307692307693
959,Silver,FEMALE,4,3,3,705.25,2022.6,48.08,705.25,USD,Debit Card,Cancelled,88,Late,1,Retail,1,907,907,0,10,Credit Card,1,1,1,Online,Tablets,Other Brands,Tablets,550,5,6,In Stock,Inactive,"Ann Arbor, Michigan",Old Customer,Middle age,0.34868486106991003,0.06817440623892236,0,907.0,0.16666666666666666
960,Silver,FEMALE,2,1,3,61.06,175.86,7.33,61.06,NGN,Bank Transfer,Delivered,0,On-Time,1,SME,2,239,479,10,5,Credit Card,1,2,0,Online,Laptops,Apple,Laptops,807,15,11,In Stock,Inactive,"Ann Arbor, Michigan",New Customer,Middle age,0.34720800636870236,0.12004585653455617,2,239.5,0.09090909090909091
961,Silver,MALE,2,2,6,414.28,2421.8,63.89,414.28,EUR,Debit Card,Cancelled,0,On-Time,1,Corporate,8,805,6443,0,0,Credit Card,1,8,1,Online,Smartphones,Other Brands,Smartphones,683,0,17,In Stock,Active,"Ann Arbor, Michigan",New Customer,Middle age,0.17106284581716077,0.1542193685430144,4,805.375,0.058823529411764705
962,Silver,MALE,5,2,9,272.17,2378.62,70.9,272.17,EUR,Auto-Debit,Pending,0,On-Time,1,Retail,7,753,5270,15,8,Mobile Money,1,7,0,Online,Tablets,Sony,Tablets,1110,20,9,In Stock,Inactive,"Ann Arbor, Michigan",New Customer,Old,0.11442348925006939,0.26049895286034463,7,752.8571428571429,0.1111111111111111
963,Gold,FEMALE,1,2,9,211.07,1857.79,41.81,211.07,USD,Auto-Debit,Shipped,26,Late,1,SME,5,223,1115,10,10,Credit Card,1,5,0,Online,Smartphones,Apple,Smartphones,1612,5,15,In Stock,Archived,"New York City, New York",New Customer,Middle age,0.1136134869926095,0.19808594305206806,7,223.0,0.06666666666666667
964,Silver,FEMALE,1,6,12,180.0,2061.46,98.53,180.0,EUR,Bank Transfer,Returned,143,Late,1,SME,2,611,1222,10,5,Credit Card,1,2,0,Online,Smartphones,Apple,Smartphones,539,5,12,In Stock,Archived,"New York City, New York",New Customer,Young,0.0873167560854928,0.5473888888888889,6,611.0,0.08333333333333333
965,Silver,MALE,1,8,9,418.93,3637.56,132.82,418.93,USD,Bank Transfer,Shipped,0,On-Time,1,SME,7,423,2960,0,10,Credit Card,1,7,0,Online,Smart Watches,Apple,Smart Watches,728,15,2,In Stock,Active,"New York City, New York",Old Customer,Middle age,0.11516785977413431,0.3170458071754231,1,422.85714285714283,0.5
966,Bronze,MALE,4,6,9,504.51,4461.52,79.04,504.51,USD,Bank Transfer,Delivered,20,Late,1,Retail,5,297,1486,15,0,Debit Card,1,5,0,Online,Headphones,Other Brands,Headphones,834,0,11,In Stock,Inactive,"Lancaster, Ohio",Old Customer,Old,0.11308029550467104,0.1566668648787933,3,297.2,0.09090909090909091
967,Gold,FEMALE,5,3,6,329.02,1902.11,72.03,329.02,USD,Wallet,Delivered,61,Late,1,SME,4,303,1210,5,0,Debit Card,1,4,0,Online,Tablets,Samsung,Tablets,754,5,13,In Stock,Archived,"New York City, New York",Old Customer,Middle age,0.17297632629027765,0.2189228618321075,3,302.5,0.07692307692307693
968,Gold,FEMALE,1,3,3,375.36,1048.09,48.83,375.36,USD,Debit Card,Pending,0,On-Time,1,Retail,6,649,3891,0,8,Cash,1,6,0,Offline,Smartphones,Apple,Smartphones,1160,0,7,In Stock,Archived,"New York City, New York",New Customer,Middle age,0.35813718287551644,0.1300884484228474,0,648.5,0.14285714285714285
969,Gold,FEMALE,2,6,6,299.16,1755.51,39.45,299.16,EUR,Debit Card,Cancelled,18,Late,1,Corporate,2,710,1419,15,0,Credit Card,1,2,1,Online,Smart Watches,Apple,Smart Watches,532,15,8,In Stock,Archived,"Columbus, Indiana",Old Customer,Middle age,0.17041201702069486,0.13186923385479343,0,709.5,0.125
970,Bronze,MALE,5,6,6,460.32,2658.39,103.53,460.32,NGN,Bank Transfer,Delivered,92,Late,1,Retail,2,58,117,5,8,Debit Card,1,2,0,Online,Smart Watches,Apple,Smart Watches,340,5,11,In Stock,Archived,"Columbus, Indiana",New Customer,Old,0.17315743739631884,0.2249087591240876,0,58.5,0.09090909090909091
971,Gold,MALE,1,7,9,258.21,2238.61,85.24,258.21,USD,Bank Transfer,Cancelled,0,On-Time,1,Corporate,10,995,9945,5,5,Cash,1,10,1,Offline,Tablets,Sony,Tablets,897,5,7,In Stock,Active,"Columbus, Indiana",Old Customer,Middle age,0.11534389643573466,0.3301188954726773,2,994.5,0.14285714285714285
972,Silver,FEMALE,2,4,9,395.77,3405.71,156.19,395.77,NGN,Debit Card,Pending,30,Late,1,SME,8,932,7454,10,8,Cash,1,8,0,Offline,Smart Watches,Other Brands,Smart Watches,1003,20,8,In Stock,Active,"Columbus, Indiana",Old Customer,Middle age,0.11620778046281098,0.39464840690299924,5,931.75,0.125
973,Bronze,FEMALE,3,1,3,1660.06,4872.11,108.07,1660.06,USD,Auto-Debit,Shipped,0,On-Time,1,Corporate,5,122,609,10,5,Mobile Money,1,5,0,Online,Tablets,Samsung,Tablets,1186,15,2,Low Stock,Archived,"Columbus, Indiana",Old Customer,Middle age,0.3407271182300892,0.06510005662445935,2,121.8,0.5
974,Platinum,FEMALE,2,2,9,286.71,2527.42,52.99,286.71,NGN,Wallet,Returned,0,On-Time,1,Corporate,5,226,1131,0,5,PayPal,1,5,0,Online,Laptops,Sony,Laptops,697,0,6,In Stock,Inactive,"Columbia, Maryland",New Customer,Middle age,0.11343979235742377,0.1848208991664051,7,226.2,0.16666666666666666
975,Bronze,MALE,2,8,9,80.57,694.61,30.49,80.57,USD,Auto-Debit,Shipped,0,On-Time,1,Retail,10,922,9221,0,8,Mobile Money,1,10,0,Online,Laptops,HP,Laptops,134,20,4,In Stock,Inactive,"Columbia, Maryland",New Customer,Young,0.11599314723369947,0.37842869554424724,1,922.1,0.25
976,Gold,MALE,5,6,9,450.71,3880.81,161.34,450.71,EUR,Auto-Debit,Delivered,162,Late,1,SME,1,132,132,15,5,Cash,1,1,0,Offline,Headphones,HP,Headphones,680,20,1,In Stock,Active,"Columbia, Maryland",Old Customer,Middle age,0.11613812580363378,0.3579685385281001,3,132.0,1.0
977,Gold,MALE,1,3,3,336.38,965.71,43.43,336.38,EUR,Wallet,Delivered,122,Late,1,Corporate,8,860,6882,15,0,Mobile Money,1,8,0,Online,Headphones,HP,Headphones,484,10,18,In Stock,Archived,"Columbia, Maryland",Old Customer,Middle age,0.3483240310238063,0.12910993519234198,0,860.25,0.05555555555555555
978,Gold,MALE,2,2,9,164.49,1422.49,57.91,164.49,USD,Debit Card,Pending,73,Late,1,Corporate,9,695,6251,0,5,PayPal,1,9,0,Online,Headphones,Samsung,Headphones,431,0,5,In Stock,Inactive,"Elyria, Ohio",New Customer,Middle age,0.11563525929883514,0.3520578758587148,7,694.5555555555555,0.2
979,Silver,FEMALE,1,1,3,1002.17,2871.46,135.04,1002.17,NGN,Debit Card,Cancelled,24,Late,1,Corporate,8,866,6931,15,5,Credit Card,1,8,1,Online,Headphones,Other Brands,Headphones,1370,15,10,In Stock,Active,"Milwaukee, Wisconsin",New Customer,Middle age,0.3490106078440932,0.13474759771296288,2,866.375,0.1
980,Bronze,MALE,2,4,6,679.99,3891.22,188.73,679.99,EUR,Auto-Debit,Delivered,0,On-Time,1,SME,3,181,544,10,10,Cash,1,3,0,Offline,Headphones,Other Brands,Headphones,635,20,13,In Stock,Inactive,"Milwaukee, Wisconsin",New Customer,Middle age,0.17474982139277656,0.27754819923822405,2,181.33333333333334,0.07692307692307693
981,Platinum,MALE,3,5,9,562.37,4948.94,112.41,562.37,EUR,Bank Transfer,Cancelled,0,On-Time,1,SME,8,799,6389,15,8,Mobile Money,1,8,1,Online,Smartphones,HP,Smartphones,1151,15,5,In Stock,Inactive,"Rochester, New York",New Customer,Middle age,0.11363443484867468,0.19988619592083504,4,798.625,0.2
982,Bronze,FEMALE,5,5,6,371.42,2190.64,37.44,371.42,USD,Auto-Debit,Pending,0,On-Time,1,SME,7,347,2429,5,0,Debit Card,1,7,0,Online,Tablets,Other Brands,Tablets,625,10,12,In Stock,Archived,"Buffalo Grove, Illinois",Old Customer,Middle age,0.1695486250593434,0.10080232620752785,1,347.0,0.08333333333333333
983,Platinum,MALE,2,8,9,108.12,913.69,9.96,108.12,EUR,Debit Card,Shipped,0,On-Time,1,Corporate,10,273,2735,10,5,Cash,1,10,0,Offline,Tablets,HP,Tablets,1208,0,3,In Stock,Active,"Deltona, Florida",Old Customer,Middle age,0.11833335157438518,0.0921198668146504,1,273.5,0.3333333333333333
984,Silver,MALE,4,3,3,1118.38,3210.86,144.27,1118.38,USD,Debit Card,Returned,40,Late,1,SME,2,773,1547,5,0,Debit Card,1,2,0,Online,Smartphones,Other Brands,Smartphones,699,10,9,In Stock,Archived,"Salem, Oregon",New Customer,Middle age,0.34831166727917134,0.128999087966523,0,773.5,0.1111111111111111
985,Silver,MALE,2,2,3,1439.69,4264.37,54.7,1439.69,NGN,Auto-Debit,Shipped,125,Late,1,SME,2,45,90,10,0,PayPal,1,2,0,Online,Tablets,Apple,Tablets,683,10,9,In Stock,Archived,"Philadelphia, Pennsylvania",Old Customer,Old,0.33760907238349397,0.037994290437524746,1,45.0,0.1111111111111111
986,Platinum,MALE,1,2,9,259.17,2258.16,74.38,259.17,EUR,Bank Transfer,Delivered,42,Late,1,Retail,6,509,3057,5,5,PayPal,1,6,0,Online,Smart Watches,Apple,Smart Watches,1166,10,9,In Stock,Active,"Columbus, Ohio",New Customer,Middle age,0.11477043256456586,0.2869930933364201,7,509.5,0.1111111111111111
987,Silver,FEMALE,4,11,12,16.57,190.91,7.95,16.57,NGN,Bank Transfer,Delivered,139,Late,1,Corporate,4,743,2972,5,0,Cash,1,4,0,Offline,Laptops,Sony,Laptops,562,5,1,In Stock,Inactive,"Columbus, Ohio",Old Customer,Middle age,0.08679482478654864,0.47978273989136994,1,743.0,1.0
988,Gold,MALE,4,1,6,254.27,1476.52,49.1,254.27,EUR,Bank Transfer,Pending,0,On-Time,1,Retail,10,178,1776,0,10,PayPal,1,10,0,Online,Headphones,Other Brands,Headphones,1268,5,3,In Stock,Archived,"Columbus, Ohio",New Customer,Young,0.17220897786687617,0.19310182089904432,5,177.6,0.3333333333333333
989,Platinum,MALE,4,8,9,237.55,2076.01,61.95,237.55,EUR,Debit Card,Cancelled,99,Late,1,SME,8,812,6497,0,0,PayPal,1,8,1,Online,Smart Watches,Sony,Smart Watches,442,10,15,In Stock,Inactive,"Columbus, Ohio",New Customer,Middle age,0.11442623108751884,0.26078720269416966,1,812.125,0.06666666666666667
990,Silver,FEMALE,3,9,9,381.55,3335.63,98.29,381.55,EUR,Bank Transfer,Delivered,55,Late,1,SME,5,253,1265,0,0,Mobile Money,1,5,0,Online,Tablets,Apple,Tablets,373,0,7,In Stock,Active,"Seattle, Washington",New Customer,Middle age,0.11438618791652551,0.25760712881666886,0,253.0,0.14285714285714285
991,Platinum,MALE,1,6,6,802.89,4620.33,196.99,802.89,USD,Auto-Debit,Cancelled,132,Late,1,SME,3,326,977,0,0,Credit Card,1,3,1,Online,Laptops,HP,Laptops,217,0,12,In Stock,Active,"Houston, Texas",Old Customer,Middle age,0.17377330190700666,0.24535116890234032,0,325.6666666666667,0.08333333333333333
992,Gold,FEMALE,3,3,9,298.29,2558.72,125.93,298.29,NGN,Wallet,Pending,153,Late,1,SME,4,174,697,0,5,Credit Card,1,4,0,Online,Headphones,Sony,Headphones,437,5,1,In Stock,Inactive,"Columbus, Ohio",Old Customer,Young,0.11657782016008006,0.42217305306916086,6,174.25,1.0
993,Silver,FEMALE,5,5,6,536.95,3149.46,72.23,536.95,EUR,Debit Card,Shipped,0,On-Time,1,Corporate,5,675,3374,15,5,Debit Card,1,5,0,Online,Smart Watches,Other Brands,Smart Watches,367,10,4,In Stock,Archived,"Columbus, Ohio",New Customer,Middle age,0.17048954423932994,0.1345190427414098,1,674.8,0.25
994,Gold,FEMALE,4,4,12,38.31,451.08,8.61,38.31,NGN,Auto-Debit,Returned,76,Late,1,Retail,9,485,4364,15,5,Credit Card,1,9,0,Online,Headphones,HP,Headphones,1424,5,15,In Stock,Inactive,"Cary, North Carolina",New Customer,Middle age,0.0849295025272679,0.22474549725920123,8,484.8888888888889,0.06666666666666667
995,Gold,FEMALE,2,1,6,845.26,4914.27,157.32,845.26,USD,Wallet,Shipped,0,On-Time,1,Retail,5,853,4267,5,10,Cash,1,5,0,Offline,Smart Watches,HP,Smart Watches,372,0,9,In Stock,Active,"Cary, North Carolina",New Customer,Young,0.17200113139896667,0.18612024702458416,5,853.4,0.1111111111111111
996,Platinum,MALE,1,9,9,231.88,2007.58,79.36,231.88,NGN,Bank Transfer,Delivered,0,On-Time,1,Corporate,1,190,190,5,8,Mobile Money,1,1,0,Online,Headphones,Other Brands,Headphones,174,20,8,In Stock,Inactive,"Cary, North Carolina",New Customer,Young,0.11550224648581875,0.3422459893048128,0,190.0,0.125
997,Silver,FEMALE,5,3,12,153.16,1758.3,34.59,153.16,NGN,Debit Card,Delivered,0,On-Time,1,SME,9,197,1770,15,8,PayPal,1,9,0,Online,Smartphones,Other Brands,Smartphones,1024,10,19,In Stock,Inactive,"Philadelphia, Pennsylvania",Old Customer,Old,0.08710686458511062,0.22584225646382872,9,196.66666666666666,0.05263157894736842
998,Gold,MALE,3,7,9,356.95,3117.36,95.16,356.95,USD,Debit Card,Pending,0,On-Time,1,Retail,1,791,791,0,8,Credit Card,1,1,0,Online,Laptops,HP,Laptops,556,10,7,In Stock,Inactive,"Chicago, Illinois",Old Customer,Young,0.11450393923063104,0.2665919596582154,2,791.0,0.14285714285714285
999,Gold,FEMALE,4,2,6,522.24,3102.23,31.2,522.24,USD,Wallet,Cancelled,66,Late,1,Retail,2,150,300,10,5,Debit Card,1,2,1,Online,Headphones,Other Brands,Headphones,1018,15,5,In Stock,Inactive,"Brentwood, California",Old Customer,Middle age,0.16834341747710518,0.059742647058823525,4,150.0,0.2
1000,Platinum,MALE,2,8,9,282.79,2450.0,95.07,282.79,NGN,Bank Transfer,Delivered,0,On-Time,1,Corporate,9,396,3565,15,0,Cash,1,9,0,Offline,Smart Watches,HP,Smart Watches,388,5,14,In Stock,Archived,"Lakeville, Minnesota",New Customer,Young,0.11542448979591838,0.33618586230064706,1,396.1111111111111,0.07142857142857142
1001,Silver,MALE,3,4,6,669.46,3902.35,114.4,669.46,EUR,Debit Card,Cancelled,21,Late,1,SME,2,432,864,15,10,PayPal,1,2,1,Online,Smartphones,HP,Smartphones,448,0,10,In Stock,Inactive,"Lakeville, Minnesota",New Customer,Middle age,0.17155303855369203,0.17088399605652316,2,432.0,0.1
1002,Platinum,MALE,1,1,3,1536.97,4484.48,126.43,1536.97,NGN,Wallet,Pending,26,Late,1,Retail,9,279,2513,15,0,Credit Card,1,9,0,Online,Headphones,Sony,Headphones,302,0,3,In Stock,Inactive,"Lakeville, Minnesota",New Customer,Young,0.34273092978450126,0.08225925034320775,2,279.22222222222223,0.3333333333333333
1003,Platinum,FEMALE,2,3,3,868.55,2515.53,64.9,868.55,USD,Debit Card,Shipped,0,On-Time,1,Corporate,4,859,3436,0,10,Credit Card,1,4,0,Online,Laptops,Apple,Laptops,692,15,15,In Stock,Archived,"Lakeville, Minnesota",Old Customer,Middle age,0.3452751507634574,0.07472223821311381,0,859.0,0.06666666666666667
1004,Platinum,FEMALE,5,1,6,274.35,1591.18,54.92,274.35,EUR,Auto-Debit,Returned,0,On-Time,1,SME,7,76,529,10,0,PayPal,1,7,0,Online,Smartphones,HP,Smartphones,369,5,1,In Stock,Active,"Lakeville, Minnesota",New Customer,Young,0.17241921090008674,0.20018224895206851,5,75.57142857142857,1.0
1005,Silver,MALE,5,7,9,565.08,4857.59,198.58,565.08,NGN,Debit Card,Shipped,47,Late,1,Corporate,6,279,1675,10,0,Credit Card,1,6,0,Online,Smart Watches,Apple,Smart Watches,580,0,16,In Stock,Archived,"Seattle, Washington",Old Customer,Old,0.1163292908623412,0.35141926806823814,2,279.1666666666667,0.0625
1006,Silver,FEMALE,3,3,3,244.41,703.14,30.1,244.41,NGN,Auto-Debit,Delivered,0,On-Time,1,Retail,10,291,2913,5,10,Debit Card,1,10,0,Online,Smartphones,HP,Smartphones,498,20,17,In Stock,Inactive,"Seattle, Washington",New Customer,Old,0.3475979179110846,0.12315371711468436,0,291.3,0.058823529411764705
1007,Bronze,MALE,3,1,6,497.41,2870.19,114.27,497.41,EUR,Debit Card,Delivered,0,On-Time,1,SME,2,46,92,5,0,PayPal,1,2,0,Online,Smartphones,Other Brands,Smartphones,1228,20,9,In Stock,Archived,"Seattle, Washington",New Customer,Young,0.17330211588779837,0.22973000140728975,5,46.0,0.1111111111111111
1008,Platinum,MALE,3,5,6,419.77,2479.51,39.08,419.77,NGN,Debit Card,Pending,0,On-Time,1,Retail,2,899,1799,10,8,Mobile Money,1,2,0,Online,Smart Watches,Apple,Smart Watches,566,0,18,In Stock,Active,"Seattle, Washington",New Customer,Middle age,0.1692955462974539,0.09309860161517021,1,899.5,0.05555555555555555
1009,Gold,FEMALE,4,1,9,450.48,3886.49,167.87,450.48,NGN,Wallet,Cancelled,0,On-Time,1,Corporate,2,784,1568,5,8,Credit Card,1,2,1,Online,Tablets,Sony,Tablets,792,0,11,In Stock,Active,"New York City, New York",New Customer,Middle age,0.11590921371211557,0.372646954359794,8,784.0,0.09090909090909091
1010,Bronze,MALE,5,8,12,398.69,4649.06,135.21,398.69,EUR,Debit Card,Delivered,0,On-Time,1,Retail,6,305,1829,10,5,Debit Card,1,6,0,Online,Laptops,Apple,Laptops,536,5,11,In Stock,Active,"New York City, New York",New Customer,Middle age,0.0857571207943111,0.3391356693170132,4,304.8333333333333,0.09090909090909091
1011,Platinum,MALE,5,4,6,715.33,4188.26,75.91,715.33,USD,Auto-Debit,Cancelled,16,Late,1,SME,7,913,6391,5,0,PayPal,1,7,1,Online,Headphones,HP,Headphones,651,15,3,In Stock,Active,"New York City, New York",Old Customer,Middle age,0.1707940767765134,0.10611885423510826,2,913.0,0.3333333333333333
1012,Silver,MALE,5,8,12,71.21,833.54,20.98,71.21,USD,Debit Card,Pending,14,On-Time,1,Corporate,10,201,2010,10,0,Debit Card,1,10,0,Online,Smartphones,Apple,Smartphones,264,10,15,In Stock,Active,"New York City, New York",Old Customer,Old,0.08543081315833673,0.29462154191826995,4,201.0,0.06666666666666667
1013,Silver,MALE,2,6,12,140.15,1649.71,28.23,140.15,EUR,Wallet,Shipped,0,On-Time,1,Retail,10,760,7604,10,8,Cash,1,10,0,Offline,Tablets,Samsung,Tablets,945,0,2,In Stock,Active,"New York City, New York",New Customer,Middle age,0.08495432530565979,0.201427042454513,6,760.4,0.5
1014,Silver,MALE,4,3,9,83.14,737.35,10.95,83.14,USD,Debit Card,Returned,0,On-Time,1,Retail,2,199,399,5,8,PayPal,1,2,0,Online,Smartphones,Samsung,Smartphones,1021,15,16,In Stock,Active,"New York City, New York",New Customer,Middle age,0.11275513663796026,0.1317055568919894,6,199.5,0.0625
1015,Silver,FEMALE,5,2,6,116.87,687.53,13.68,116.87,EUR,Debit Card,Shipped,0,On-Time,1,Corporate,4,793,3171,5,0,Cash,1,4,0,Offline,Smartphones,Sony,Smartphones,827,15,1,In Stock,Inactive,"Los Angeles, California",New Customer,Middle age,0.16998530973193898,0.11705313596303585,4,792.75,1.0
1016,Gold,MALE,2,4,6,393.01,2326.22,31.84,393.01,EUR,Auto-Debit,Delivered,86,Late,1,Corporate,6,741,4444,0,0,Credit Card,1,6,0,Online,Smart Watches,Apple,Smart Watches,1160,20,14,In Stock,Inactive,"Los Angeles, California",New Customer,Middle age,0.16894790690476397,0.08101575023536296,2,740.6666666666666,0.07142857142857142
1017,Silver,MALE,3,2,12,256.49,2947.12,111.07,256.49,EUR,Bank Transfer,Delivered,0,On-Time,1,SME,10,463,4635,15,10,Mobile Money,1,10,0,Online,Smartphones,Samsung,Smartphones,665,15,1,In Stock,Active,"Broken Arrow, Oklahoma",Old Customer,Middle age,0.0870307283042428,0.4330383250808998,10,463.5,1.0
1018,Platinum,FEMALE,4,1,3,123.17,363.72,5.79,123.17,USD,Debit Card,Pending,0,On-Time,1,Corporate,6,991,5947,10,8,Credit Card,1,6,0,Online,Smartphones,Other Brands,Smartphones,111,0,15,In Stock,Inactive,"Broken Arrow, Oklahoma",New Customer,Old,0.3386396128890355,0.04700820004871316,2,991.1666666666666,0.06666666666666667
1019,Bronze,FEMALE,1,2,3,1111.4,3215.18,119.02,1111.4,NGN,Bank Transfer,Cancelled,0,On-Time,1,SME,8,867,6934,15,8,Mobile Money,1,8,1,Online,Smartphones,HP,Smartphones,997,15,12,In Stock,Active,"Los Angeles, California",Old Customer,Middle age,0.34567271505794395,0.10709015655929457,1,866.75,0.08333333333333333
1020,Bronze,MALE,2,3,12,259.34,2969.99,142.06,259.34,USD,Debit Card,Delivered,0,On-Time,1,Retail,8,231,1847,10,5,PayPal,1,8,0,Online,Laptops,HP,Laptops,576,15,18,In Stock,Inactive,"San Diego, California",Old Customer,Middle age,0.08732015932713579,0.5477751214621732,9,230.875,0.05555555555555555
1021,Bronze,FEMALE,4,1,3,1503.12,4277.08,207.71,1503.12,NGN,Bank Transfer,Cancelled,55,Late,1,Retail,2,808,1617,5,8,Debit Card,1,2,1,Online,Smartphones,Other Brands,Smartphones,851,20,17,In Stock,Inactive,"San Diego, California",New Customer,Middle age,0.35143602644795047,0.13818590664750655,2,808.5,0.058823529411764705
1022,Gold,MALE,5,3,3,529.09,1554.56,32.7,529.09,USD,Debit Card,Pending,138,Late,1,Corporate,7,804,5626,5,10,Mobile Money,1,7,0,Online,Smart Watches,Other Brands,Smart Watches,963,10,5,In Stock,Active,"San Diego, California",New Customer,Middle age,0.3403471078633183,0.0618042299041751,0,803.7142857142857,0.2
1023,Bronze,FEMALE,1,6,9,93.94,818.06,27.36,93.94,EUR,Bank Transfer,Shipped,0,On-Time,1,SME,3,935,2804,10,8,Credit Card,1,3,0,Online,Smart Watches,Samsung,Smart Watches,236,20,1,In Stock,Archived,"Philadelphia, Pennsylvania",Old Customer,Old,0.1148326528616483,0.2912497338726847,3,934.6666666666666,1.0
1024,Bronze,MALE,2,2,3,1373.17,4044.25,75.27,1373.17,NGN,Auto-Debit,Returned,102,Late,1,Retail,9,167,1499,15,5,Credit Card,1,9,0,Online,Smart Watches,Samsung,Smart Watches,328,5,16,In Stock,Archived,"Philadelphia, Pennsylvania",Old Customer,Middle age,0.3395363788094208,0.05481477165973622,1,166.55555555555554,0.0625
1025,Gold,MALE,5,11,12,120.12,1409.13,32.32,120.12,NGN,Auto-Debit,Shipped,57,Late,1,Corporate,9,420,3784,10,5,Credit Card,1,9,0,Online,Tablets,Other Brands,Tablets,1037,20,11,In Stock,Archived,"Philadelphia, Pennsylvania",Old Customer,Middle age,0.08524408677694748,0.26906426906426906,1,420.44444444444446,0.09090909090909091
